id;id_gl;nazwa;rodzaj;kod;miasto;ulica;kier;tel;fax;internet;mail
72;13;Komenda Powiatowa Policji w Krapkowicach;kpp;47-300;Krapkowice;ul. Sądowa 25;77;4079723;;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=102&Itemid=88;
92;13;Komenda Powiatowa Policji w Namysłowie;kpp;46-100;Namysłów;ul. Piłsudskiego 4;77;4039143, 403914144;;;
113;13;Komenda Powiatowa Policji w Oleśnie;kpp;46-300;Olesno;ul. Klonowa 1a;34;3504403;3504445;www.olesno.policja.gov.pl;
125;13;Komenda Powiatowa Policji w Brzegu;kpp;49-300;Brzeg;ul. Robotnicza 10;77;4240003;4240045;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=88&Itemid=84;
136;13;Komenda Powiatowa Policji w Strzelcach Opolskich;kpp;47-100;Strzelce Opolskie;ul. Piłsudskiego 3;77;4621903;4621945;www.strzelce-opolskie.policja.gov.pl;
178;13;Komenda Powiatowa Policji Głubczyce;kpp;48-100;Głubczyce;ul. Chrobrego 6;77;4710203;4710245;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=99&Itemid=85;
189;13;Komenda Powiatowa Policji w Kędzierzynie - Koźlu;kpp;47-220;Kędzierzyn-Koźle;ul. Wojska Polskiego 18;77;4724666;4724645;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=100&Itemid=86;
191;13;Komenda Powiatowa Policji w Kluczborku;kpp;46-200;Kluczbork;ul. Katowicka 14;77;4170302, 4170303;4170345;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=101&Itemid=87;
218;13;Komenda Powiatowa Policji w Nysie;kpp;48-300;Nysa;ul. Armii Krajowej 11;77;4090902;4090945;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=105&Itemid=90;
231;13;Komenda Powiatowa Policji w Prudniku;kpp;48-200;Prudnik;ul. Skowrońskiego 39;77;4341802;434 1845;www.opolska.policja.gov.pl/index.php?option=com_content&view=category&layout=blog&id=108&Itemid=93;
300;13;Komenda Miejska Policji w Opolu;kmp;45-078;Opole;ul. Leona Powolnego 1;77;4222545;4222544;www.opolska.policja.gov.pl/index.php?option=com_content&view=article&id=282&Itemid=311;
377;113;Komisariat Policji w Dobrodzieniu;kp;46-380;Dobrodzień;ul. Piastowska 2;34;3575526;3575526;;
386;113;Komisariat Policji w Praszce.;kp;46-320;Praszka;ul. Piłsudskiego 35;34;3588333;;;
388;125;Komisariat Policji w Grodkowie;kp;49-200;Grodków;ul. Kasztanowa 5;77;4241743;;;
426;125;Komisariat Policji w Lewinie Brzeskim;kp;49-340;Lewin Brzeski;ul. Kościuszki 47;77;4127777;;;
458;218;Komisariat Policji w Paczkowie;kp;48-370;Paczków;ul. Mickiewicza 11;77;4390445;4390444;;
571;300;Komisariat Policji w Dobrzeniu Wielkim;kp;46-081;Dobrzeń Wielki;ul. Namysłowska 54;77;4032490;4032490;;
595;231;Komisariat Policji w Głogówku;kp;48-250;Głogówek;Kościuszki 25;77;4069970;;;
